score,year,set,card,number,parallel,total_pop,gem_pop,gem_rate_pct,recent_sales,oldest_comp,latest_comp,momentum_pct,ebay_url,url
0.65,1986,Fleer Sticker,Michael Jordan,8,Base,23927,127,0.53,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1986+Fleer+Sticker+Michael+Jordan+%238+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1986&set_name=Fleer%20Sticker&card_number=8&name=Michael%20Jordan&parallel=Base
0.649,1986,Fleer,Michael Jordan,57,Base,31213,341,1.09,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1986+Fleer+Michael+Jordan+%2357+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1986&set_name=Fleer&card_number=57&name=Michael%20Jordan&parallel=Base
0.6479,1980,Topps,Julius Erving Larry Bird Magic Johnson,,Scoring Leader,18333,23,0.13,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1980+Topps+Julius+Erving+Larry+Bird+Magic+Johnson+Scoring+Leader+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1980&set_name=Topps&card_number=&name=Julius%20Erving%2FLarry%20Bird%2FMagic%20Johnson&parallel=Scoring%20Leader
0.6444,1989,Fleer Sticker,Michael Jordan,3,Base,19254,84,0.44,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1989+Fleer+Sticker+Michael+Jordan+%233+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1989&set_name=Fleer%20Sticker&card_number=3&name=Michael%20Jordan&parallel=Base
0.6435,1987,Fleer,Michael Jordan,59,Base,23856,217,0.91,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1987+Fleer+Michael+Jordan+%2359+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1987&set_name=Fleer&card_number=59&name=Michael%20Jordan&parallel=Base
0.6423,1988,Fleer Sticker,Michael Jordan,7,Base,15107,12,0.08,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1988+Fleer+Sticker+Michael+Jordan+%237+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1988&set_name=Fleer%20Sticker&card_number=7&name=Michael%20Jordan&parallel=Base
0.6364,1987,Fleer Sticker,Michael Jordan,2,Base,13272,24,0.18,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1987+Fleer+Sticker+Michael+Jordan+%232+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1987&set_name=Fleer%20Sticker&card_number=2&name=Michael%20Jordan&parallel=Base
0.6336,1988,Fleer,Michael Jordan,17,Base,32513,666,2.05,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1988+Fleer+Michael+Jordan+%2317+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1988&set_name=Fleer&card_number=17&name=Michael%20Jordan&parallel=Base
0.6331,1981,Topps,Larry Bird,4,Base,13999,70,0.5,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1981+Topps+Larry+Bird+%234+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1981&set_name=Topps&card_number=4&name=Larry%20Bird&parallel=Base
0.6261,1988,Fleer,Michael Jordan,120,All-Star,21833,390,1.79,0,,,0.0,https://www.ebay.com/sch/i.html?_nkw=1988+Fleer+Michael+Jordan+All-Star+%23120+PSA+10&_sacat=0&LH_Sold=1&LH_Complete=1&_ipg=60&_sop=13,https://www.gemrate.com/population-trend?grader=psa&category=basketball-cards&year=1988&set_name=Fleer&card_number=120&name=Michael%20Jordan&parallel=All-Star
